exam_year,season,question_no,answer,main_category,sub_category,keyword,question_theme,trap_point,learning_type,priority,pm_relevance,source_file
2009,autumn,8,エ,マルウェア・ランサムウェア・標的型攻撃,ウイルス,ウイルス,ウイルスの検出手法であるビヘイビア法を説明したものはどれか。,ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2009,autumn,9,ウ,マルウェア・ランサムウェア・標的型攻撃,フォレンジクス,フォレンジクス,"コンピュータフォレンジクスの説明として,適切なものはどれか。",ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2009,autumn,10,ア,暗号・ハッシュ・電子署名,ステガノグラフィ,ステガノグラフィ,ステガノグラフィの機能はどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2009,autumn,11,ア,ネットワーク,ファイアウォール,ファイアウォール,"パケットフィルタリング型ファイアウォールのフィルタリングルールを用いて,本来必要なサービスに影響",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,12,ア,マルウェア・ランサムウェア・標的型攻撃,攻撃(その他),攻撃(その他),ブルートフォース攻撃に該当するものはどれか。,ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2009,autumn,13,ウ,ネットワーク,無線LAN,無線LAN,レイヤー2スイッチや無線LANアクセスポイントで接続を許可する仕組みはどれか。,TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,14,ウ,Web脆弱性,SQLインジェクション,SQLインジェクション,"SQLインジェクション対策について,Webアプリケーションの実装における対策とWebアプリケーシ",XSS対策(エスケープ)とCSRF対策(トークン)の取り違え,mechanism,A,high,sc_kakomon.json
2009,autumn,15,ア,開発技術・サービスマネジメント,要件定義,要件定義,"SLCP(共通フレーム)に従いシステム開発の要件定義の段階で実施することとして,適切なものはどれ",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,autumn,16,ア,ネットワーク,ネットワーク,ネットワーク,"ネットワークのQoSで使用されるトラフィック制御方式に関する説明のうち,適切なものはどれか。",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,17,エ,ネットワーク,IPアドレス,IPアドレス,"電源オフ時にIPアドレスを保持することができない装置が,電源オン時に自装置のMACアドレスから自",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,18,イ,ネットワーク,IPアドレス,IPアドレス,"ネットワークに接続されているホストのIPアドレスが212.62.31.90で,サブネットマスクが",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,19,エ,ネットワーク,イーサネット,イーサネット,"イーサネットのレイヤー2で使用されるプロトコルで,ネットワークを冗長化させる際にループの発生を防",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,20,エ,マルウェア・ランサムウェア・標的型攻撃,遠隔操作,遠隔操作,"暗号化や認証機能を持ち,リモートからの遠隔操作の機能をもったプロトコルはどれか。",ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2009,autumn,21,エ,その他SC午前Ⅱ固有テーマ,一般,,"Webサーバを使ったシステムにおいて,インターネットから受け取ったリクエストをWebサーバに中継",,memory,C,low,sc_kakomon.json
2009,autumn,22,イ,開発技術・サービスマネジメント,テスト,テスト,"ブラックボックステストのテストデータの作成方法のうち,最も適切なものはどれか。",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,autumn,23,ウ,開発技術・サービスマネジメント,特許,特許,開発した製品で利用している新規技術に関して特許の出願を行った。日本において特許権の取得ができない,テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,autumn,24,ウ,その他SC午前Ⅱ固有テーマ,一般,,雷サージによって通信回線に誘起された異常電圧から通信機器を保護するための装置はどれか。,,memory,C,low,sc_kakomon.json
2009,autumn,25,エ,ISMS・リスク管理・監査・法制度,内部統制,内部統制,ITに係る内部統制を評価し検証するシステム監査の対象となるものはどれか。,リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2010,spring,1,ウ,暗号・ハッシュ・電子署名,ハッシュ,ハッシュ,"セキュアハッシュ関数SHA-256を用いて,32ビット,256ビット,2,048ビットの三つの長",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,mechanism,A,middle,sc_kakomon.json
2010,spring,2,ア,暗号・ハッシュ・電子署名,デジタル署名,デジタル署名,XMLデジタル署名の特徴はどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,spring,3,ウ,認証・認可・SAML・OAuth,認証,認証,"A社のWebサーバは,認証局で生成したWebサーバ用のデジタル証明書を使ってSSL/TLS通信を",認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2010,spring,4,イ,認証・認可・SAML・OAuth,パスワード,パスワード,"S/KEYワンタイムパスワードに関する記述のうち,適切なものはどれか。",認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2010,spring,5,イ,暗号・ハッシュ・電子署名,暗号,暗号,"100人の送受信者が共通鍵暗号方式で,それぞれ秘密に通信を行うときに必要な共通鍵の総数は幾つか。",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,spring,6,エ,ISMS・リスク管理・監査・法制度,リスク対応,リスク対応,"情報漏えいに関するリスク対応のうち,リスク回避に該当するものはどれか。",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2010,spring,7,ウ,Web脆弱性,Webアプリケーション,Webアプリケーション,"経済産業省告示の""ソフトウェア等脆弱性関連情報取扱基準""におけるWebアプリケーションに関する脆",XSS対策(エスケープ)とCSRF対策(トークン)の取り違え,mechanism,A,high,sc_kakomon.json
2010,spring,8,ウ,ネットワーク,DNS,DNS,"DNSサーバに格納されるネットワーク情報のうち,第三者に公開する必要のない情報が攻撃に利用される",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,spring,9,ウ,マルウェア・ランサムウェア・標的型攻撃,ワーム,ワーム,"ワームの侵入に関する記述のうち,適切なものはどれか。",ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2010,spring,10,エ,暗号・ハッシュ・電子署名,ステガノグラフィ,ステガノグラフィ,ステガノグラフィを説明したものはどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,spring,11,ア,ネットワーク,ファイアウォール,ファイアウォール,DMZ上のコンピュータがインターネットからのpingに応答しないようにファイアウォールのセキュリ,TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,spring,12,ア,マルウェア・ランサムウェア・標的型攻撃,ウイルス,ウイルス,"ダウンローダ型ウイルスがPCに侵入した場合に,インターネット経路で他のウイルスがダウンロードされ",ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2010,spring,13,ア,PKI・証明書・TLS・HTTPS,証明書,証明書,"デジタル証明書を使わずに,通信者同士が,通信によって交換する公開鍵を用いて行う暗号化通信において",CRL(失効リスト)とOCSP(リアルタイム照会)の混同。失効と有効期限切れの混同,both,A,high,sc_kakomon.json
2010,spring,14,ア,メールセキュリティ,DKIM,DKIM,スパムメールの対策であるDKIM(DomainKeysIdentifiedMail)の説明はどれ,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2010,spring,15,ウ,メールセキュリティ,SMTP-AUTH,SMTP-AUTH,SMTP-AUTHを使ったメールセキュリティ対策はどれか。,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2010,spring,16,ア,PKI・証明書・TLS・HTTPS,TLS,TLS,セキュリティプロトコルのSSL/TLSの機能はどれか。,CRL(失効リスト)とOCSP(リアルタイム照会)の混同。失効と有効期限切れの混同,both,A,high,sc_kakomon.json
2010,spring,17,ウ,ネットワーク,IPsec,IPsec,"IPsecに関する記述のうち,適切なものはどれか。",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,spring,18,イ,ネットワーク,IPアドレス,IPアドレス,"図のような2台のレイヤー2スイッチ,1台のルータ,4台の端末からなるIPネットワークで,端末Aか",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,spring,19,エ,メールセキュリティ,電子メール,電子メール,"インターネットで電子メールを送信するとき,メッセージの本文の暗号化に共通鍵暗号方式を用い,共通鍵",SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2010,spring,20,ウ,ネットワーク,サブネット,サブネット,"192.168.1.0/24のネットワークアドレスを,16個のサブネットに分割したときのサブネッ",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,spring,21,ウ,マルウェア・ランサムウェア・標的型攻撃,マイニング,マイニング,"データマイニングツールに関する記述として,最も適切なものはどれか。",ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2010,spring,22,イ,開発技術・サービスマネジメント,クラス図,クラス図,"次のクラス図におけるクラス間の関係の説明のうち,適切なものはどれか。",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2010,spring,23,ウ,開発技術・サービスマネジメント,SOA,SOA,SOA(ServiceOrientedArchitecture)の説明はどれか。,テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2010,spring,24,ウ,開発技術・サービスマネジメント,フェールソフト,フェールソフト,"情報システムの設計において,フェールソフトが講じられているのはどれか。",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2010,spring,25,ウ,ISMS・リスク管理・監査・法制度,監査,監査,"""情報セキュリティ監査基準""の位置付けはどれか。",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2010,autumn,1,エ,認証・認可・SAML・OAuth,シングルサインオン,シングルサインオン,"シングルサインオンの説明のうち,適切なものはどれか。",認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2010,autumn,2,ウ,暗号・ハッシュ・電子署名,デジタル署名,デジタル署名,"作成者によってデジタル署名された電子文書に,タイムスタンプ機関がタイムスタンプを付与した。この電",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,autumn,3,ア,暗号・ハッシュ・電子署名,FIPS140,FIPS140,FIPS140-2を説明したものはどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,autumn,4,ア,暗号・ハッシュ・電子署名,AES,AES,米国NISTが制定したAESにおける鍵長の条件はどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,autumn,5,ウ,ISMS・リスク管理・監査・法制度,JISQ27,JISQ27,"JISQ27001:2006における情報システムのリスクとその評価に関する記述のうち,適切なもの",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2010,autumn,6,ア,ネットワーク,ファイアウォール,ファイアウォール,"DMZ上に公開しているWebサーバで入力データを受け付け,内部ネットワークのDBサーバにそのデー",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,7,エ,ネットワーク,ファイアウォール,ファイアウォール,"ファイアウォールにおいて,自ネットワークのホストへの侵入を防止する対策のうち,IPスプーフィング",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,8,イ,Web脆弱性,SQLインジェクション,SQLインジェクション,SQLインジェクション攻撃を防ぐ方法はどれか。,XSS対策(エスケープ)とCSRF対策(トークン)の取り違え,mechanism,A,high,sc_kakomon.json
2010,autumn,9,イ,ネットワーク,ARP,ARP,"通信を要求したPCに対し,ARPの仕組みを利用して実現できる通信の可否の判定方法のうち,最も適切",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,10,イ,暗号・ハッシュ・電子署名,暗号,暗号,"暗号方式に関する記述のうち,適切なものはどれか。",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,autumn,11,イ,メールセキュリティ,電子メール,電子メール,社内とインターネットの接続点にパケットフィルタリング型ファイアウォールを設置したネットワーク構成,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2010,autumn,12,ウ,メールセキュリティ,SPF,SPF,"送信元を詐称した電子メールを拒否するために,SPF(SenderPolicyFramework)",SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2010,autumn,13,イ,メールセキュリティ,OP25B,OP25B,ISP管理下の動的IPアドレスを割り当てられたPCからのスパムメール送信を防止する対策OP25B,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2010,autumn,14,エ,暗号・ハッシュ・電子署名,暗号,暗号,"無線LANにおける通信の暗号化の仕組みに関する記述のうち,適切なものはどれか。",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2010,autumn,15,ア,PKI・証明書・TLS・HTTPS,SSL,SSL,"SSLの利用に関する記述のうち,適切なものはどれか。",CRL(失効リスト)とOCSP(リアルタイム照会)の混同。失効と有効期限切れの混同,both,A,high,sc_kakomon.json
2010,autumn,16,イ,Web脆弱性,WAF,WAF,WAF(WebApplicationFirewall)のブラックリスト又はホワイトリストの説明の,XSS対策(エスケープ)とCSRF対策(トークン)の取り違え,mechanism,A,high,sc_kakomon.json
2010,autumn,17,イ,ネットワーク,LAN,LAN,"1台のサーバと複数台のクライアントが,100Mビット/秒のLANで接続されている。業務のピーク時",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,18,ア,ネットワーク,LAN,LAN,"LANの制御方式に関する記述のうち,適切なものはどれか。",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,19,エ,ネットワーク,DNS,DNS,"DNSSECの説明として,適切なものはどれか。",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,20,ア,ネットワーク,TCP,TCP,TCPのコネクション確立方式である3ウェイハンドシェイクを表す図はどれか。,TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2010,autumn,21,イ,データベース,主キー,主キー,"和両立である表R(ID,NAME),S(NO,NAMAE)がある。差集合R-Sを求めるSELEC",NULLの比較結果、WITH GRANT OPTIONの効果,mechanism,C,low,sc_kakomon.json
2010,autumn,22,イ,開発技術・サービスマネジメント,保守,保守,"ソフトウェアの保守作業の効率向上策として,最も適切なものはどれか。",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2010,autumn,23,ウ,開発技術・サービスマネジメント,SOA,SOA,SOA(ServiceOrientedArchitecture)でサービスを設計する際の注意点の,テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2010,autumn,24,ウ,データベース,レプリケーション,レプリケーション,レプリケーションが有効な対策となるものはどれか。,NULLの比較結果、WITH GRANT OPTIONの効果,mechanism,C,low,sc_kakomon.json
2010,autumn,25,イ,ISMS・リスク管理・監査・法制度,監査,監査,"請負契約でシステム開発を委託している案件について,委託元のシステム監査人の指摘事項に該当するもの",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2011,spring,1,ア,暗号・ハッシュ・電子署名,暗号,暗号,AESの暗号化方式を説明したものはどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2011,spring,2,ウ,認証・認可・SAML・OAuth,802.1X,802.1X,IEEE802.1Xで使われるEAP-TLSによって実現される認証はどれか。,認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2011,spring,3,イ,暗号・ハッシュ・電子署名,TPM,TPM,PCに内蔵されるセキュリティチップ(TPM:TrustedPlatformModule)がもつ機,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2011,spring,4,ウ,暗号・ハッシュ・電子署名,暗号,暗号,暗号アルゴリズムの危殆(たい)化を説明したものはどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2011,spring,5,イ,メールセキュリティ,SMTP-AUTH,SMTP-AUTH,SMTP-AUTHにおける認証の動作を説明したものはどれか。,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2011,spring,6,ウ,PKI・証明書・TLS・HTTPS,CRL,CRL,X.509におけるCRL(CertificateRevocationList)の運用を説明したも,CRL(失効リスト)とOCSP(リアルタイム照会)の混同。失効と有効期限切れの混同,both,A,high,sc_kakomon.json
2011,spring,7,ウ,認証・認可・SAML・OAuth,認証,認証,認証局が送信者に発行したデジタル証明書を使用して送信者又は受信者が行えることはどれか。,認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2011,spring,8,イ,認証・認可・SAML・OAuth,パスワード,パスワード,"サーバへのログイン時に用いるパスワードを不正に取得しようとする攻撃とその対策の組合せのうち,適切",認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2011,spring,9,エ,マルウェア・ランサムウェア・標的型攻撃,ウイルス,ウイルス,ウイルスの検出手法であるビヘイビア法を説明したものはどれか。,ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2011,spring,10,ア,マルウェア・ランサムウェア・標的型攻撃,ウイルス,ウイルス,"ウイルス調査手法に関する記述のうち,適切なものはどれか。",ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2011,spring,11,ア,暗号・ハッシュ・電子署名,暗号,暗号,"通信の暗号化に関する記述のうち,適切なものはどれか。",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2011,spring,12,ウ,メールセキュリティ,メール,メール,"自社の中継用メールサーバのログのうち,外部ネットワークからの第三者中継と判断できるものはどれか。",SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
